Total_Stops,Day_of_journey,month_of_journey,Arrival_hour,Arrival_min,Dep_hour,Dep_min,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi,Duration_hours,Duration_mins
0,18,6,13,5,9,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,15
0,24,5,14,5,11,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35
0,6,6,14,30,11,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
0,5,12,12,20,9,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,50
1,24,5,9,20,6,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,50
0,21,6,8,30,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,25
1,21,3,19,15,7,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,45
0,24,4,1,0,22,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
0,4,1,12,20,9,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,45
2,24,6,19,0,11,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,20
1,3,9,13,20,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,20
0,3,9,0,10,22,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,25
1,6,12,19,15,11,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,50
1,15,5,19,0,4,55,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,5
1,4,6,19,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0
0,4,1,23,55,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
0,27,6,21,40,20,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,35
1,27,3,13,20,6,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,20
0,21,6,0,40,22,20,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,20
0,15,5,9,30,6,55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,35
0,27,6,22,50,19,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
0,15,5,16,10,13,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
0,27,6,10,10,7,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
1,15,5,10,30,6,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,40
0,15,5,0,5,21,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40
0,5,1,21,50,18,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,55
0,3,3,17,45,15,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35
1,27,5,1,30,16,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,30
2,6,12,11,5,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,55
1,6,12,10,5,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,35
1,27,3,4,25,15,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,20
0,5,1,18,25,16,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,30
1,5,9,10,55,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,55
0,24,5,11,20,8,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
1,6,12,16,20,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,50
1,4,6,23,45,19,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,25
1,15,5,22,50,17,55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4,55
1,6,12,19,35,10,35,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0
0,3,3,15,35,13,20,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,15
1,6,9,1,30,10,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,55
2,18,5,20,25,8,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,5
0,5,9,23,20,20,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35
1,6,6,8,15,18,55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,20
1,5,9,19,15,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,15
0,24,3,8,40,5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50
2,21,3,18,50,9,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,10
0,21,3,16,55,14,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35
1,21,5,23,35,14,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,30
1,3,9,19,45,8,40,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,5
0,18,3,16,45,14,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,30
2,6,9,4,25,11,45,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,40
0,3,6,14,0,11,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,25
2,21,5,5,35,16,50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,45
1,15,5,19,15,12,50,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,25
1,21,5,22,5,15,45,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,20
1,5,1,20,20,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,15
0,5,9,12,20,9,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,45
2,24,3,23,15,16,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,30
1,3,9,12,0,6,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,20
1,15,5,19,15,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,15
1,3,12,19,10,18,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,15
1,15,5,4,40,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,40
0,6,6,7,40,6,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,20
2,5,9,4,25,23,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,20
1,6,9,21,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0
1,24,4,0,10,19,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,35
0,24,3,0,5,21,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,55
2,3,3,19,15,16,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,35
0,15,5,10,40,9,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,30
1,24,6,22,15,17,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,10
2,6,3,19,15,16,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,35
0,6,9,0,20,21,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,15
1,3,12,13,15,22,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,20
2,21,3,19,15,12,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,30,55
1,3,12,7,40,22,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,45
1,18,5,19,15,7,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,10
1,6,1,21,0,9,15,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,45
2,6,1,12,35,14,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,22,0
0,21,5,7,15,5,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,30
2,27,3,19,15,19,45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,30
2,15,5,5,25,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,25
1,15,5,21,5,9,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,30
1,5,9,9,45,20,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,20
2,3,9,9,25,13,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,10
1,5,12,18,15,8,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,50
0,3,3,19,45,17,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,30
1,15,5,19,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,0
1,21,3,15,30,7,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0
0,6,12,15,35,13,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,20
0,5,9,14,0,11,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,25
1,5,9,21,25,15,55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,30
1,18,5,12,35,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,35
0,15,3,4,15,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,45
1,6,6,1,30,17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,30
0,21,3,22,45,21,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,25
2,3,3,21,20,4,55,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,25
2,6,9,7,40,5,55,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,25,45
1,6,6,9,45,20,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,20
0,5,1,8,30,7,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,25
0,5,9,22,25,21,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,20
1,24,6,12,35,22,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,45
1,21,3,4,25,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,25
0,21,3,12,30,9,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,55
1,15,5,20,45,21,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,35
1,3,3,1,35,17,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,5
2,18,5,4,25,23,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,20
0,4,9,22,0,18,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5
1,6,12,23,35,14,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,30
0,5,3,10,35,8,20,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,15
1,5,1,4,40,14,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,35
0,27,4,23,50,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,50
0,24,5,12,20,9,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,50
1,3,9,22,55,17,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
0,24,4,3,25,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,55
0,6,12,10,5,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,55
2,21,5,9,25,9,45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,23,40
1,5,9,8,15,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,45
0,15,5,20,45,17,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
1,27,6,22,30,13,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,15
0,5,3,14,5,11,30,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35
1,27,5,19,15,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,15
1,21,5,1,30,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,30
1,21,5,14,25,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,25
1,3,6,16,10,7,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,35
1,6,9,13,25,7,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,30
2,24,6,4,25,14,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,50
0,24,6,3,10,1,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,30
2,6,9,4,25,9,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,50
1,6,3,23,0,9,45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,15
1,3,9,21,55,6,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,15
0,27,6,9,30,6,55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,35
1,3,1,15,15,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,15
2,21,5,18,30,8,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,10
1,27,5,1,30,10,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,55
0,15,6,12,35,9,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,50
0,3,9,19,45,16,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50
1,18,5,19,15,8,45,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,30
0,24,3,22,55,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,55
0,27,3,10,40,9,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,30
2,6,3,19,0,5,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,30
0,3,9,22,35,19,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40
1,15,5,14,25,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,25
1,21,3,4,25,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,25
0,4,12,16,45,14,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,30
1,5,9,19,0,21,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,21,10
2,5,9,19,0,23,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,19,55
1,5,6,19,0,7,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,11,30
0,24,3,19,45,17,15,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,30
1,15,6,19,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0
0,27,5,10,5,7,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,55
1,27,5,21,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,0
0,5,3,18,10,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,55
1,27,5,1,30,17,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,20
1,21,5,19,0,10,35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,8,25
0,6,6,10,45,9,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,30
0,5,3,0,25,22,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,20
1,6,1,22,25,16,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,40
1,15,5,18,50,20,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,22,30
0,6,6,19,50,17,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35
2,5,12,1,20,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,20
1,27,5,19,0,22,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,20,10
0,3,9,10,15,8,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,25
2,5,9,7,40,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,26,40
0,27,4,12,20,9,35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,45
1,15,6,1,30,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,30
1,6,12,10,5,5,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,55
0,4,12,14,30,11,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
1,15,5,19,25,7,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,50
1,4,1,4,40,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,10
1,5,6,23,25,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,25
1,3,6,21,0,7,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13,55
1,18,5,20,20,15,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,15
2,18,5,19,0,13,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,29,35
2,21,5,4,25,9,40,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,18,45
2,6,9,12,35,19,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,5
2,5,12,18,30,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,30
0,5,6,11,20,8,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
1,21,3,19,15,10,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,15
1,24,5,14,15,9,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,55
1,5,6,8,15,18,55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,20
0,5,9,9,30,6,55,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,35
2,24,5,18,30,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,30
0,27,5,22,50,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,50
1,6,1,1,30,10,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,15,10
1,3,6,4,25,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,25
